Polarization of Light 'Brewsters' Data File Thu, Nov 03, 2022 10:03 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.04747
180.00000	0.05214
180.00000	0.07099
180.00000	0.06841
180.00000	0.05117
180.00000	0.06615
180.00000	0.06519
180.00000	0.05842
180.00000	0.04650
180.01667	0.04940
180.01667	0.04489
180.03333	0.02669
180.05000	0.00414
180.11667	-0.00134
180.16667	0.00559
180.23333	-0.00134
180.31667	0.00011
180.40000	0.00124
180.46667	-0.00456
180.53333	-0.00376
180.61667	0.00124
180.70000	-0.00424
180.78333	-0.00440
180.85000	0.00301
180.91667	-0.00827
180.96667	-0.00440
181.01667	-0.00585
181.06667	0.00204
181.13333	-0.00617
181.16667	0.00414
181.25000	0.00543
181.30000	-0.00504
181.38333	-0.00408
181.51667	0.00381
181.61667	-0.00311
181.75000	-0.00424
181.88333	0.00333
182.00000	-0.00472
182.11667	0.00075
182.25000	0.00269
182.43333	0.00301
182.60000	0.08436
182.75000	0.09499
182.88333	0.10449
182.96667	0.06519
183.01667	0.03571
183.08333	0.02894
183.16667	0.07308
183.21667	0.10095
183.25000	0.09015
183.30000	0.09450
183.35000	0.08951
183.41667	0.07582
183.50000	0.08274
183.56667	0.08548
183.63333	0.12656
183.68333	0.10852
183.73333	0.13091
183.80000	0.14138
183.86667	0.12253
183.93333	0.12318
184.00000	0.14460
184.08333	0.12753
184.20000	0.14782
184.31667	0.13365
184.45000	0.12898
184.53333	0.15426
184.63333	0.13526
184.71667	0.15636
184.78333	0.15346
184.88333	0.16377
185.03333	0.15636
185.18333	0.17279
185.35000	0.13332
185.50000	0.10932
185.61667	0.09338
185.73333	0.17231
185.85000	0.17553
186.01667	0.18374
186.18333	0.17875
186.36667	0.20275
186.46667	0.20823
186.56667	0.19905
186.61667	0.18874
186.66667	0.19631
186.71667	0.20066
186.76667	0.18100
186.83333	0.20114
186.91667	0.18084
187.00000	0.18584
187.10000	0.18374
187.18333	0.19067
187.26667	0.19631
187.33333	0.19357
187.43333	0.19131
187.55000	0.22015
187.70000	0.21821
187.91667	0.21934
188.05000	0.24785
188.11667	0.24367
188.25000	0.23948
188.36667	0.20436
188.50000	0.16055
188.63333	0.10755
188.78333	0.09692
189.00000	0.11995
189.21667	0.19083
189.40000	0.21080
189.55000	0.20388
189.66667	0.13977
189.81667	0.10288
189.98333	0.11271
190.20000	0.08967
190.38333	0.28571
190.56667	0.31615
190.71667	0.32179
190.80000	0.32984
190.86667	0.32936
190.91667	0.33017
190.98333	0.32904
191.10000	0.31293
191.26667	0.25575
191.45000	0.24109
191.60000	0.25043
191.71667	0.30520
191.81667	0.35787
191.88333	0.36432
191.93333	0.35481
192.01667	0.36142
192.13333	0.35497
192.25000	0.36544
192.36667	0.35240
192.48333	0.37028
192.60000	0.37156
192.75000	0.37946
192.96667	0.39379
193.13333	0.32807
193.31667	0.17569
193.45000	0.05407
193.58333	0.02105
193.73333	-0.00585
193.90000	0.00688
194.06667	0.00607
194.20000	0.00575
194.33333	0.00494
194.43333	0.00236
194.56667	0.00832
194.70000	0.00752
194.81667	-0.00907
194.93333	0.06615
195.05000	0.10997
195.21667	0.34998
195.38333	0.46145
195.53333	0.50542
195.70000	0.54843
195.88333	0.53393
196.05000	0.54779
196.18333	0.56905
196.31667	0.55890
196.48333	0.57227
196.61667	0.58870
196.75000	0.46966
196.90000	0.42311
197.03333	0.39395
197.18333	0.43036
197.33333	0.49962
197.45000	0.56228
197.55000	0.52330
197.66667	0.39991
197.80000	0.16022
197.93333	0.05874
198.03333	0.02620
198.11667	0.01799
198.20000	0.00027
198.30000	0.00462
198.36667	0.00510
198.43333	-0.00263
198.48333	0.00720
198.55000	0.00108
198.61667	-0.00488
198.73333	0.00543
198.86667	0.12898
199.00000	0.17746
199.15000	0.33693
199.33333	0.60513
199.51667	0.73577
199.70000	0.77749
199.88333	0.81389
200.06667	0.77089
200.25000	0.63381
200.48333	0.55278
200.71667	0.38832
200.91667	0.38123
201.08333	0.47530
201.21667	0.43294
201.38333	0.62430
201.55000	0.85417
201.73333	0.90313
201.86667	0.93293
202.00000	0.91844
202.11667	0.95677
202.23333	0.95081
202.33333	0.97014
202.45000	0.82034
202.56667	0.42553
202.66667	0.10981
202.76667	0.11399
202.88333	0.12849
202.98333	0.22289
203.10000	0.34466
203.23333	0.65362
203.40000	0.98674
203.56667	1.10271
203.70000	1.09643
203.86667	1.10465
204.01667	1.10545
204.13333	1.10078
204.25000	1.10433
204.41667	1.10884
204.58333	1.15217
204.73333	1.17826
204.85000	1.20146
205.00000	1.20645
205.16667	1.22852
205.33333	1.23206
205.55000	1.17536
205.75000	1.10545
205.93333	1.10400
206.08333	1.15797
206.20000	1.22192
206.26667	1.10529
206.35000	1.00977
206.46667	1.34965
206.63333	1.38654
206.76667	1.41634
206.88333	1.39492
206.98333	1.44872
207.11667	1.43567
207.26667	1.48206
207.40000	1.46998
207.51667	1.52056
207.61667	1.52427
207.71667	1.54875
207.83333	1.54940
207.98333	1.55858
208.13333	1.59240
208.31667	1.64202
208.51667	1.62800
208.68333	1.63284
208.81667	1.65555
208.96667	1.69244
209.11667	1.69147
209.28333	1.70242
209.45000	1.72771
209.61667	1.77878
209.76667	1.83918
209.88333	1.81083
209.98333	1.61641
210.06667	1.24382
210.18333	1.25300
210.30000	1.36270
210.43333	1.42810
210.60000	1.93197
210.76667	1.96177
210.93333	1.98158
211.08333	1.99511
211.26667	2.01138
211.46667	2.01041
211.66667	2.01831
211.86667	2.05826
212.06667	2.10255
212.26667	2.14943
212.43333	2.17955
212.58333	2.22836
212.70000	2.24173
212.76667	2.25333
212.85000	2.29392
212.91667	2.28490
212.98333	2.28909
213.06667	2.28635
213.15000	2.25252
213.26667	2.28699
213.38333	2.30890
213.50000	2.30407
213.60000	2.26364
213.70000	2.23158
213.81667	2.38171
213.93333	2.48964
214.08333	2.49978
214.23333	2.51976
214.41667	2.51702
214.58333	2.54247
214.70000	2.61641
214.80000	2.59434
214.88333	2.63461
214.93333	2.52733
214.98333	0.98561
215.03333	0.20597
215.13333	0.13542
215.26667	0.12302
215.41667	0.18777
215.55000	0.61915
215.68333	1.52153
215.81667	2.38058
215.95000	2.63993
216.06667	2.80874
216.20000	2.86351
216.31667	2.95179
216.43333	2.98642
216.58333	2.97498
216.75000	3.00623
216.90000	3.01090
217.03333	3.04344
217.16667	3.04908
217.28333	3.06245
217.35000	3.07212
217.40000	3.11126
217.46667	3.13736
217.55000	3.18053
217.65000	3.17779
217.75000	3.18729
217.83333	3.20066
217.93333	3.24077
217.98333	3.24834
218.05000	3.22096
218.11667	3.27267
218.26667	3.30795
218.41667	3.31874
218.55000	3.34435
218.70000	3.33920
218.83333	3.28539
218.96667	3.27412
219.15000	3.25849
219.36667	3.10369
219.56667	3.14767
219.70000	3.38204
219.78333	3.49142
219.81667	3.52428
219.88333	3.52944
219.96667	3.56198
220.11667	3.64510
220.26667	3.70083
220.41667	3.78154
220.56667	3.79298
220.70000	3.82423
220.80000	3.83776
220.88333	3.86933
220.98333	3.87819
221.11667	3.89607
221.26667	3.89849
221.36667	3.91234
221.48333	3.82970
221.58333	3.66395
221.68333	3.19680
221.81667	3.18488
221.96667	3.79346
222.11667	4.03767
222.26667	4.06988
222.43333	4.15816
222.61667	4.18989
222.75000	4.19859
222.90000	4.17830
223.03333	4.20310
223.13333	4.18136
223.21667	4.19988
223.28333	4.20133
223.30000	4.16444
223.30000	4.12304
223.30000	3.71388
223.30000	0.38203
223.30000	0.22176
223.30000	1.49672
223.30000	1.70130
223.30000	1.84095
223.30000	1.73142
223.30000	2.34901
223.30000	2.18052
223.28333	2.23915
223.28333	2.33242
223.28333	2.38268
223.28333	2.38090
223.28333	2.37849
223.28333	2.33967
223.28333	2.30761
223.28333	2.28812
223.28333	2.28007
223.28333	2.27008
223.28333	2.27829
223.28333	2.27572
223.28333	2.29295
223.28333	2.31309
223.28333	2.32453
223.28333	2.31599
223.28333	2.31873
223.26667	2.30117
223.26667	2.29585
223.26667	2.29295
223.26667	2.28136
223.26667	2.28764
223.26667	2.26976
223.26667	2.27185
223.26667	2.26444
223.26667	2.27443
223.26667	2.26702
223.26667	2.26718
223.26667	2.27056
223.26667	2.31599
223.26667	2.34160
223.26667	2.32227
223.26667	2.29263
223.26667	2.32791
223.26667	2.29376
223.26667	2.30407
223.26667	2.34128
223.26667	2.35014
223.26667	2.33016
223.26667	2.32130
223.26667	2.35545
223.26667	2.32517
223.26667	2.32356
223.26667	2.32630
223.26667	2.30600
223.26667	2.27958
223.26667	2.31921
223.26667	2.32839
223.26667	2.29328
223.26667	2.27974
223.26667	2.32179
223.26667	2.32485
223.26667	2.29505
