Polarization of Light 'theta' Data File Thu, Oct 27, 2022 10:56 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.15250
0.00000	3.15250
0.00000	3.15491
0.00000	3.14444
0.00000	3.14718
0.00000	3.15266
0.00000	3.15040
0.00000	3.15459
0.00000	3.15089
0.00000	3.15620
0.00000	3.15363
0.00000	3.16039
0.00000	3.16232
0.00000	3.16538
0.00000	3.17344
0.00000	3.17006
0.00000	3.16635
0.00000	3.16571
0.00000	3.16990
0.00000	3.16877
0.00000	3.16603
0.00000	3.16538
0.00000	3.16571
0.00000	3.15878
0.00000	3.14879
0.00000	3.14009
0.00000	3.13365
0.00000	3.13526
0.00436	3.11996
0.00873	3.11674
0.01745	3.10997
0.03491	3.10337
0.06109	3.08919
0.09163	3.06406
0.13090	3.02540
0.17890	2.97353
0.21380	2.92327
0.24871	2.86979
0.28798	2.79860
0.32289	2.73448
0.34907	2.67730
0.38834	2.60320
0.41452	2.53538
0.44942	2.45194
0.48433	2.36029
0.51051	2.29682
0.54105	2.20581
0.57160	2.11818
0.61087	2.00316
0.65450	1.86753
0.69813	1.72723
0.73740	1.61753
0.77231	1.50043
0.81594	1.36705
0.85521	1.24124
0.89012	1.12978
0.92939	1.01541
0.97738	0.88896
1.02102	0.76058
1.06901	0.64685
1.10828	0.54118
1.16064	0.42665
1.20864	0.32630
1.24791	0.25510
1.27845	0.20033
1.31772	0.14138
1.36136	0.09257
1.40499	0.04618
1.45299	0.01171
1.48789	-0.00118
1.53589	-0.00714
1.61443	0.00591
1.65806	0.02959
1.69297	0.06197
1.73660	0.10546
1.78460	0.16796
1.82387	0.22901
1.86314	0.30230
1.91986	0.41296
1.99840	0.58016
2.06822	0.76380
2.11185	0.88429
2.14675	0.98738
2.18602	1.10288
2.22966	1.24012
2.27329	1.36818
2.31256	1.47836
2.34310	1.57887
2.37801	1.68213
2.41728	1.80407
2.46528	1.89991
2.53073	2.04634
2.60490	2.22240
2.65290	2.40507
2.68344	2.56454
2.71399	2.64927
2.75326	2.73626
2.80125	2.82566
2.84052	2.89186
2.87979	2.93954
2.91906	2.98658
2.94088	3.02121
2.95833	3.03007
2.98015	3.04087
3.00197	3.04360
3.03251	3.05359
3.06742	3.04264
3.10669	3.03523
3.14159	3.03152
3.17650	3.01896
