 Radioactive Decay Experiment Sep 29, 2022 9:41 AM
Sample Number	Number of Counts
1	666
2	628
3	526
4	466
5	477
6	382
7	393
8	328
9	314
10	266
11	270
12	216
13	238
14	181
15	189
16	154
17	161
18	142
19	131
20	119
21	109
22	96
23	88
24	72
25	84
26	63
27	59
28	47
29	62
30	54
31	32
32	32
33	39
34	44
35	30
36	38
37	33
38	24
39	19
40	24
41	28
42	22
43	8
44	18
45	17
46	11
47	12
48	15
49	13
50	16
51	8
52	6
53	3
54	8
55	6
56	13
57	8
58	4
59	5
60	6
