 Radioactive Decay Experiment Sep 29, 2022 10:06 AM
Sample Number	Number of Counts
1	39
2	39
3	42
4	33
5	49
6	32
7	31
8	54
9	60
10	40
11	42
12	45
13	61
14	45
15	42
16	49
17	44
18	41
19	53
20	46
21	39
22	35
23	43
24	41
25	49
26	50
27	59
28	47
29	41
30	37
31	38
32	53
33	38
34	37
35	52
36	46
37	41
38	32
39	35
40	39
41	39
42	39
43	34
44	46
45	42
46	39
47	52
48	51
49	59
50	42
51	52
52	36
53	48
54	47
55	44
56	41
57	37
58	53
59	45
60	52
61	44
62	42
63	53
64	47
65	51
66	45
67	41
68	46
69	39
70	54
71	51
72	45
73	35
74	44
75	46
76	40
77	44
78	47
79	37
80	36
81	40
82	32
83	51
84	40
85	33
86	45
87	37
88	58
89	50
90	37
91	38
92	48
93	49
94	39
95	40
96	45
97	43
98	55
99	37
100	36
101	40
102	40
103	38
104	43
105	51
106	49
107	58
108	36
109	47
110	41
111	43
112	48
113	42
114	50
115	53
116	49
117	51
118	41
119	45
120	37
121	30
122	40
123	44
124	47
125	48
126	41
127	34
128	41
129	41
130	43
131	47
132	45
133	39
134	47
135	45
136	27
137	50
138	47
139	44
140	47
141	46
142	48
143	33
144	34
145	42
146	43
147	39
148	46
149	38
150	40
151	36
152	49
153	50
154	40
155	50
156	53
157	54
158	37
159	41
160	44
161	58
162	42
163	51
164	41
165	50
166	45
167	41
168	42
169	48
170	42
171	39
172	50
173	47
174	49
175	47
176	33
177	37
178	52
179	46
180	38
181	42
182	37
183	30
184	48
185	47
186	38
187	41
188	34
189	35
190	36
191	39
192	36
193	43
194	55
195	43
196	45
197	32
198	51
199	45
200	57
201	32
202	48
203	47
204	42
205	24
206	55
207	54
208	43
209	48
210	43
211	59
212	33
213	41
214	45
215	54
216	36
217	40
218	41
219	54
220	42
221	42
222	46
223	43
224	30
225	46
226	47
227	39
228	55
229	45
230	47
231	46
232	50
233	40
234	44
235	66
236	39
237	43
238	42
239	55
240	41
241	49
242	58
243	45
244	47
245	42
246	61
247	44
248	35
249	39
250	44
251	35
252	41
253	53
254	47
255	63
256	35
257	47
258	36
259	37
260	33
261	43
262	33
263	44
264	44
265	39
266	41
267	48
268	34
269	36
270	40
271	41
272	38
273	43
274	46
275	39
276	37
277	44
278	47
279	46
280	42
281	36
282	34
283	50
284	53
285	24
286	48
287	49
288	45
289	50
290	27
291	33
292	47
293	37
294	41
295	45
296	41
297	49
298	31
299	41
300	51
301	36
302	43
303	48
304	43
305	46
306	40
307	48
308	37
309	40
310	46
311	44
312	39
313	45
314	39
315	40
316	40
317	39
318	44
319	45
320	37
321	44
322	40
323	41
324	54
325	37
326	35
327	50
328	39
329	38
330	38
331	53
332	43
333	49
334	33
335	39
336	40
337	49
338	45
339	40
340	35
341	46
342	44
343	40
344	50
345	42
346	35
347	32
348	51
349	58
350	46
351	47
352	47
353	42
354	44
355	43
356	39
357	42
358	45
359	36
360	40
361	38
362	42
363	35
364	38
365	39
366	49
367	51
368	44
369	38
370	39
371	44
372	43
373	31
374	52
375	48
376	43
377	35
378	51
379	44
380	44
381	46
382	38
383	48
384	46
385	42
386	52
387	40
388	46
389	41
390	44
391	40
392	45
393	44
394	33
395	40
396	42
397	45
398	33
399	34
400	48
